INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
298756519,01/01/2025,23:18:00,QUEENS,OUTSIDE,103,0,COMMERCIAL,BAR/NIGHT CLUB,N,(null),(null),(null),<18,F,BLACK,1036944,194475,40.700318,-73.809959,POINT (-73.809959 40.700318)
298756516,01/01/2025,21:22:00,BRONX,OUTSIDE,40,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),<18,M,WHITE HISPANIC,1000688,236005,40.814448,-73.940614,POINT (-73.940614 40.814448)
299996365,01/24/2025,20:20:00,BRONX,OUTSIDE,42,0,STREET,(null),N,(null),(null),(null),45-64,M,BLACK HISPANIC,1014445,240852,40.827717,-73.890893,POINT (-73.890893 40.827717)
300261481,01/29/2025,13:30:00,QUEENS,OUTSIDE,114,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,M,BLACK,1002916,221441,40.77447,-73.932605,POINT (-73.932605 40.77447)
301609656,02/24/2025,11:30:00,BROOKLYN,INSIDE,83,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK,45-64,I,BLACK,1007046,192510,40.695051,-73.917793,POINT (-73.917793 40.695051)
300882495,02/10/2025,11:56:00,BROOKLYN,INSIDE,73,0,COMMERCIAL,GROCERY/BODEGA,N,<18,M,BLACK,45-64,M,BLACK,1007627,183444,40.670167,-73.915729,POINT (-73.915729 40.670167)
302818234,03/14/2025,16:24:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,18-24,M,BLACK HISPANIC,<18,M,BLACK,1001420,241474,40.829459,-73.937956,POINT (-73.937956 40.829459)
300555969,02/04/2025,10:30:00,BROOKLYN,OUTSIDE,73,2,HOUSING,MULTI DWELL - APT BUILD,N,<18,M,BLACK,<18,M,BLACK,1008093,184404,40.672802,-73.914047,POINT (-73.914047 40.672802)
302197816,03/06/2025,13:45:00,BRONX,INSIDE,40,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,25-44,M,BLACK,1005945,235372,40.812701,-73.921625,POINT (-73.921625 40.812701)
301080543,02/13/2025,01:10:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),Y,45-64,M,BLACK,25-44,M,BLACK,1008969,175797,40.649174,-73.910919,POINT (-73.910919 40.649174)
298909833,01/04/2025,16:50:00,MANHATTAN,OUTSIDE,28,0,STREET,(null),N,18-24,M,BLACK,25-44,M,BLACK,997365,231723,40.802702,-73.95263,POINT (-73.95263 40.802702)
300882494,02/10/2025,20:33:00,QUEENS,INSIDE,109,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,M,BLACK,1031364,218413,40.766054,-73.829917,POINT (-73.829917 40.766054)
298756517,01/01/2025,05:15:00,BRONX,OUTSIDE,44,0,STREET,(null),Y,45-64,M,BLACK,18-24,M,BLACK,1009255,244278,40.8371265397571,-73.90963478047829,POINT (-73.90963478047829 40.8371265397571)
300197279,01/28/2025,15:30:00,BROOKLYN,INSIDE,67,0,DWELLING,MULTI DWELL - APT BUILD,N,(null),(null),(null),<18,M,BLACK,1004499,180655,40.662519,-73.927012,POINT (-73.927012 40.662519)
298779027,01/02/2025,08:26:00,BROOKLYN,OUTSIDE,88,0,STREET,(null),N,18-24,M,BLACK,<18,M,BLACK,991197,192954,40.696297,-73.974949,POINT (-73.974949 40.696297)
